date,obs,sim,bf
1987-05-03 00:00:00 +0000 UTC,0.0004780047479114566,0.00027837871463612726,0.0002511379370552081
1987-05-04 00:00:00 +0000 UTC,0.000444595815400023,0.000262754188544376,0.0002370423505615472
1987-05-05 00:00:00 +0000 UTC,0.00044973564645781126,0.00024800661820662673,0.00022373790522692432
1987-05-06 00:00:00 +0000 UTC,0.00042660637606195426,0.00023408678284076023,0.0002111801967738867
1987-05-07 00:00:00 +0000 UTC,0.00040347713630190695,0.00022094822427312573,0.00019932731319811586
1987-05-08 00:00:00 +0000 UTC,0.0003854876969638382,0.00020854709188197296,0.0001881396948849359
1987-05-09 00:00:00 +0000 UTC,0.0003752080348482616,0.00019684199624372384,0.00017758000257704455
1987-05-10 00:00:00 +0000 UTC,0.00035978851103908707,0.00018632421572167728,0.00016834142794332327
1987-05-11 00:00:00 +0000 UTC,0.0003520787644524046,0.00017738465789877706,0.0001588929504019956
1987-05-12 00:00:00 +0000 UTC,0.00034693893339461635,0.00019159147266068887,0.00018479197691286306
1987-05-13 00:00:00 +0000 UTC,0.00033665924064323006,0.0002534055942857669,0.00017442018153836634
1987-05-14 00:00:00 +0000 UTC,0.0002981104770740082,0.00018248789411613823,0.00016463052258065337
1987-05-15 00:00:00 +0000 UTC,0.0002981104770740082,0.0002469696463753088,0.00022614290309917
1987-05-16 00:00:00 +0000 UTC,0.0005808014609746515,0.0004595468988517255,0.00024037884640946944
1987-05-17 00:00:00 +0000 UTC,0.0004959941566137156,0.00029795437470911043,0.00022688713400416185
1987-05-18 00:00:00 +0000 UTC,0.00043688606881334054,0.0002373816775173926,0.00021415266919508184
1987-05-19 00:00:00 +0000 UTC,0.0003854876969638382,0.00022405818682263084,0.0002021329500443904
1987-05-20 00:00:00 +0000 UTC,0.0003392291868079339,0.00021148250196591825,0.00019078786011501346
1987-05-21 00:00:00 +0000 UTC,0.00032380966299875934,0.00019961265094575514,0.0001800795345799492
1987-05-22 00:00:00 +0000 UTC,0.00030839016982539444,0.0001960138933687716,0.00018041762699618426
1987-05-23 00:00:00 +0000 UTC,0.0002929706460162199,0.0002312009166583692,0.0002038296617337214
1987-05-24 00:00:00 +0000 UTC,0.00028012106837174916,0.00029007454155294444,0.00021842700604257664
1987-05-25 00:00:00 +0000 UTC,0.0002698413756203629,0.0002734500714048698,0.00020616738174078226
1987-05-26 00:00:00 +0000 UTC,0.00027241129114925707,0.00021570354415115413,0.00019459585178567253
1987-05-27 00:00:00 +0000 UTC,0.00027498123731396084,0.00023021235617919685,0.00022023062708784974
1987-05-28 00:00:00 +0000 UTC,0.00028012106837174916,0.0003457809179432008,0.0002786223477358288
1987-05-29 00:00:00 +0000 UTC,0.00029040073048732575,0.0004576378079475175,0.00031973890683251367
1987-05-30 00:00:00 +0000 UTC,0.00027241129114925707,0.00043244083033844066,0.000301792962585725
1987-05-31 00:00:00 +0000 UTC,0.0002595617135047863,0.00032674510222070497,0.00029995310976303866
1987-06-01 00:00:00 +0000 UTC,0.00024671212054241075,0.00038318008090010357,0.00034259692451341637
1987-06-02 00:00:00 +0000 UTC,0.00033408932511433593,0.0004915515897330853,0.0003652535892643172
1987-06-03 00:00:00 +0000 UTC,0.000421466545004166,0.0004544086176351454,0.00034475304832667507
1987-06-04 00:00:00 +0000 UTC,0.00039319744355052066,0.00036978643429736683,0.0003378842718816803
1987-06-05 00:00:00 +0000 UTC,0.00033665924064323006,0.0003750452171778827,0.0003189198850789454
1987-06-06 00:00:00 +0000 UTC,0.00030839016982539444,0.0003390554727389338,0.0003084150644958256
1987-06-07 00:00:00 +0000 UTC,0.0003160999164120769,0.00037184456006113606,0.00034110865190262543
1987-06-08 00:00:00 +0000 UTC,0.000318669831940971,0.0004971712824234982,0.000392715867294495
1987-06-09 00:00:00 +0000 UTC,0.00035978851103908707,0.0005504882092811892,0.00038271903127850383
1987-06-10 00:00:00 +0000 UTC,0.0003649283420968754,0.0004235595097397366,0.00036447695870339794
1987-06-11 00:00:00 +0000 UTC,0.0003392291868079339,0.0003880710314869426,0.0003455967146472565
1987-06-12 00:00:00 +0000 UTC,0.00031353000088318276,0.00038600262483510985,0.0003560052316714241
1987-06-13 00:00:00 +0000 UTC,0.0003058202542965003,0.0004633935095920222,0.00039027876373865
1987-06-14 00:00:00 +0000 UTC,0.0003109600853542886,0.0005019309037509989,0.00036837363807176255
1987-06-15 00:00:00 +0000 UTC,0.0003854876969638382,0.00038541256445619263,0.00034769797855846646
1987-06-16 00:00:00 +0000 UTC,0.00046258522410228204,0.00036378056332670306,0.0003281827791110627
1987-06-17 00:00:00 +0000 UTC,0.00034693893339461635,0.00034336269872523907,0.0003097629067376066
